id,pokemon_species_id,pokemon_id,revision,name,form_name,form_name_suffix,type_1,type_2,ability_1,ability_2,ability_hidden,egg_group_1,egg_group_2,height,weight,base_hp,yield_hp,base_attack,yield_attack,base_defense,yield_defense,base_sp_attack,yield_sp_attack,base_sp_defense,yield_sp_defense,base_speed,yield_speed,base_stats_total,yield_stats_total,generation_id,introduced_in,evolves_from_species_id,evolution_chain_id,color,shape,gender_rate,catch_rate,base_happiness,base_experience,egg_cycles,has_gender_traits,growth_rate,form_category,is_permanent_form,is_battle_form,is_aesthetic_form,is_default,form_is_default,species_order,pokemon_order,form_order,form_order2
28,28,28,1,sandslash,,,5,,8,,146,5,,10,295,75,0,100,0,110,2,45,0,55,0,65,0,450,2,1,1,27,11,10,6,4,90,70,158,20,0,2,,1,0,0,1,1,29,46,1,47
29,29,29,1,nidoran-f,,,4,,38,79,55,1,5,4,70,55,1,47,0,52,0,40,0,40,0,41,0,275,1,1,1,,12,2,8,8,235,70,55,20,0,4,,1,0,0,1,1,30,48,1,49
30,30,30,1,nidorina,,,4,,38,79,55,15,,8,200,70,2,62,0,67,0,55,0,55,0,56,0,365,2,1,1,29,12,2,8,8,120,70,128,20,0,4,,1,0,0,1,1,31,49,1,50
31,31,31,1,nidoqueen,,,4,5,38,79,125,15,,13,600,90,3,92,0,87,0,75,0,85,0,76,0,505,3,1,1,30,12,2,6,8,45,70,227,20,0,4,,1,0,0,1,1,32,50,1,51
32,32,32,1,nidoran-m,,,4,,38,79,55,1,5,5,90,46,0,57,1,40,0,40,0,40,0,50,0,273,1,1,1,,13,7,8,0,235,70,55,20,0,4,,1,0,0,1,1,33,51,1,52
33,33,33,1,nidorino,,,4,,38,79,55,1,5,9,195,61,0,72,2,57,0,55,0,55,0,65,0,365,2,1,1,32,13,7,8,0,120,70,128,20,0,4,,1,0,0,1,1,34,52,1,53
34,34,34,1,nidoking,,,4,5,38,79,125,1,5,14,620,81,0,102,3,77,0,85,0,75,0,85,0,505,3,1,1,33,13,7,6,0,45,70,227,20,0,4,,1,0,0,1,1,35,53,1,54
35,35,35,1,clefairy,,,18,,56,98,132,6,,6,75,70,2,45,0,48,0,60,0,65,0,35,0,323,2,1,1,173,14,6,6,6,150,140,113,10,0,3,,1,0,0,1,1,37,55,1,56
36,36,36,1,clefable,,,18,,56,98,109,6,,13,400,95,3,70,0,73,0,95,0,90,0,60,0,483,3,1,1,35,14,6,6,6,25,140,217,10,0,3,,1,0,0,1,1,38,56,1,57
37,37,37,1,vulpix,,,10,,18,,70,5,,6,99,38,0,41,0,40,0,50,0,65,0,65,1,299,1,1,1,,15,3,8,6,190,70,60,20,0,2,,1,0,0,1,1,39,57,1,58
38,38,38,1,ninetales,,,10,,18,,70,5,,11,199,73,0,76,0,75,0,81,0,100,1,100,1,505,2,1,1,37,15,10,8,6,75,70,177,20,0,2,,1,0,0,1,1,40,59,1,60
39,39,39,1,jigglypuff,,,1,18,56,172,132,6,,5,55,115,2,45,0,20,0,45,0,25,0,20,0,270,2,1,1,174,16,6,12,6,170,70,95,10,0,3,,1,0,0,1,1,42,62,1,63
40,40,40,1,wigglytuff,,,1,18,56,172,119,6,,10,120,140,3,70,0,45,0,85,0,50,0,45,0,435,3,1,1,39,16,6,12,6,50,70,196,10,0,3,,1,0,0,1,1,43,63,1,64
41,41,41,1,zubat,,,4,3,39,,151,4,,8,75,40,0,45,0,35,0,30,0,40,0,55,1,245,1,1,1,,17,7,9,4,255,70,49,15,1,2,,1,0,0,1,1,44,64,1,65
42,42,42,1,golbat,,,4,3,39,,151,4,,16,550,75,0,80,0,70,0,65,0,75,0,90,2,455,2,1,1,41,17,7,9,4,90,70,159,15,1,2,,1,0,0,1,1,45,65,1,66
43,43,43,1,oddish,,,12,4,34,,50,7,,5,54,45,0,50,0,55,0,75,1,65,0,30,0,320,1,1,1,,18,2,7,4,255,70,64,20,0,4,,1,0,0,1,1,47,67,1,68
44,44,44,1,gloom,,,12,4,34,,1,7,,8,86,60,0,65,0,70,0,85,2,75,0,40,0,395,2,1,1,43,18,2,12,4,120,70,138,20,1,4,,1,0,0,1,1,48,68,1,69
45,45,45,1,vileplume,,,12,4,34,,27,7,,12,186,75,0,80,0,85,0,110,3,90,0,50,0,490,3,1,1,44,18,8,12,4,45,70,221,20,1,4,,1,0,0,1,1,49,69,1,70
46,46,46,1,paras,,,7,12,27,87,6,3,7,3,54,35,0,70,1,55,0,45,0,55,0,25,0,285,1,1,1,,19,8,14,4,190,70,57,20,0,2,,1,0,0,1,1,51,71,1,72
47,47,47,1,parasect,,,7,12,27,87,6,3,7,10,295,60,0,95,2,80,1,60,0,80,0,30,0,405,3,1,1,46,19,8,14,4,75,70,142,20,0,2,,1,0,0,1,1,52,72,1,73
48,48,48,1,venonat,,,7,4,14,110,50,3,,10,300,60,0,55,0,50,0,40,0,55,1,45,0,305,1,1,1,,20,7,12,4,190,70,61,20,0,2,,1,0,0,1,1,53,73,1,74
49,49,49,1,venomoth,,,7,4,19,110,147,3,,15,125,70,0,65,0,60,0,90,1,75,0,90,1,450,2,1,1,48,20,7,13,4,75,70,158,20,0,2,,1,0,0,1,1,54,74,1,75
50,50,50,1,diglett,,,5,,8,71,159,5,,2,8,10,0,55,0,25,0,35,0,45,0,95,1,265,1,1,1,,21,3,5,4,255,70,53,20,0,2,,1,0,0,1,1,55,75,1,76
51,51,51,1,dugtrio,,,5,,8,71,159,5,,7,333,35,0,100,0,50,0,50,0,70,0,120,2,425,2,1,1,50,21,3,11,4,50,70,149,20,0,2,,1,0,0,1,1,56,77,1,78
52,52,52,1,meowth,,,1,,53,101,127,5,,4,42,40,0,45,0,35,0,40,0,40,0,90,1,290,1,1,1,,22,10,8,4,255,70,58,20,0,2,,1,0,0,1,1,57,79,1,80
53,53,53,1,persian,,,1,,7,101,127,5,,10,320,65,0,70,0,60,0,65,0,65,0,115,2,440,2,1,1,52,22,10,8,4,90,70,154,20,0,2,,1,0,0,1,1,58,81,1,82
54,54,54,1,psyduck,,,11,,6,13,33,2,5,8,196,50,0,52,0,48,0,65,1,50,0,55,0,320,1,1,1,,23,10,6,4,190,70,64,20,0,2,,1,0,0,1,1,59,83,1,84
55,55,55,1,golduck,,,11,,6,13,33,2,5,17,766,80,0,82,0,78,0,95,2,80,0,85,0,500,2,1,1,54,23,2,6,4,75,70,175,20,0,2,,1,0,0,1,1,60,84,1,85
56,56,56,1,mankey,,,2,,72,83,128,5,,5,280,40,0,80,1,35,0,35,0,45,0,70,0,305,1,1,1,,24,3,6,4,190,70,61,20,0,2,,1,0,0,1,1,61,85,1,86
57,57,57,1,primeape,,,2,,72,83,128,5,,10,320,65,0,105,2,60,0,60,0,70,0,95,0,455,2,1,1,56,24,3,6,4,75,70,159,20,0,2,,1,0,0,1,1,62,86,1,87
58,58,58,1,growlithe,,,10,,22,18,154,5,,7,190,55,0,70,1,45,0,70,0,50,0,60,0,350,1,1,1,,25,3,8,2,190,70,70,20,0,1,,1,0,0,1,1,63,87,1,88
59,59,59,1,arcanine,,,10,,22,18,154,5,,19,1550,90,0,110,2,80,0,100,0,80,0,95,0,555,2,1,1,58,25,3,8,2,75,70,194,20,0,1,,1,0,0,1,1,64,88,1,89
60,60,60,1,poliwag,,,11,,11,6,33,2,,6,124,40,0,50,0,40,0,40,0,40,0,90,1,300,1,1,1,,26,2,7,4,255,70,60,20,0,4,,1,0,0,1,1,65,89,1,90
61,61,61,1,poliwhirl,,,11,,11,6,33,2,,10,200,65,0,65,0,65,0,50,0,50,0,90,2,385,2,1,1,60,26,2,12,4,120,70,135,20,0,4,,1,0,0,1,1,66,90,1,91
62,62,62,1,poliwrath,,,11,2,11,6,33,2,,13,540,90,0,95,0,95,3,70,0,90,0,70,0,510,3,1,1,61,26,2,12,4,45,70,230,20,0,4,,1,0,0,1,1,67,91,1,92
63,63,63,1,abra,,,14,,28,39,98,8,,9,195,25,0,20,0,15,0,105,1,55,0,90,0,310,1,1,1,,27,3,6,2,200,70,62,20,0,4,,1,0,0,1,1,69,93,1,94
64,64,64,1,kadabra,,,14,,28,39,98,8,,13,565,40,0,35,0,30,0,120,2,70,0,105,0,400,2,1,1,63,27,3,6,2,100,70,140,20,1,4,,1,0,0,1,1,70,94,1,95
65,65,65,1,alakazam,,,14,,28,39,98,8,,15,480,55,0,50,0,45,0,135,3,95,0,120,0,500,3,1,1,64,27,3,12,2,50,70,225,20,1,4,,0,0,0,1,1,71,95,1,96
66,66,66,1,machop,,,2,,62,99,80,8,,8,195,70,0,80,1,50,0,35,0,35,0,35,0,305,1,1,1,,28,4,6,2,180,70,61,20,0,4,,1,0,0,1,1,72,97,1,98
67,67,67,1,machoke,,,2,,62,99,80,8,,15,705,80,0,100,2,70,0,50,0,60,0,45,0,405,2,1,1,66,28,4,12,2,90,70,142,20,0,4,,1,0,0,1,1,73,98,1,99
68,68,68,1,machamp,,,2,,62,99,80,8,,16,1300,90,0,130,3,80,0,65,0,85,0,55,0,505,3,1,1,67,28,4,12,2,45,70,227,20,0,4,,1,0,0,1,1,74,99,1,100
69,69,69,1,bellsprout,,,12,4,34,,82,7,,7,40,50,0,75,1,35,0,70,0,30,0,40,0,300,1,1,1,,29,5,12,4,255,70,60,20,0,4,,1,0,0,1,1,75,100,1,101
70,70,70,1,weepinbell,,,12,4,34,,82,7,,10,64,65,0,90,2,50,0,85,0,45,0,55,0,390,2,1,1,69,29,5,5,4,120,70,137,20,0,4,,1,0,0,1,1,76,101,1,102
71,71,71,1,victreebel,,,12,4,34,,82,7,,17,155,80,0,105,3,65,0,100,0,70,0,70,0,490,3,1,1,70,29,5,5,4,45,70,221,20,0,4,,1,0,0,1,1,77,102,1,103
72,72,72,1,tentacool,,,11,4,29,64,44,9,,9,455,40,0,40,0,35,0,50,0,100,1,70,0,335,1,1,1,,30,2,10,4,190,70,67,20,0,1,,1,0,0,1,1,78,103,1,104
73,73,73,1,tentacruel,,,11,4,29,64,44,9,,16,550,80,0,70,0,65,0,80,0,120,2,100,0,515,2,1,1,72,30,2,10,4,60,70,180,20,0,1,,1,0,0,1,1,79,104,1,105
74,74,74,1,geodude,,,6,5,69,5,8,10,,4,200,40,0,80,0,100,1,30,0,30,0,20,0,300,1,1,1,,31,3,4,4,255,70,60,15,0,4,,1,0,0,1,1,80,105,1,106
75,75,75,1,graveler,,,6,5,69,5,8,10,,10,1050,55,0,95,0,115,2,45,0,45,0,35,0,390,2,1,1,74,31,3,12,4,120,70,137,15,0,4,,1,0,0,1,1,81,107,1,108
76,76,76,1,golem,,,6,5,69,5,8,10,,14,3000,80,0,120,0,130,3,55,0,65,0,45,0,495,3,1,1,75,31,3,12,4,45,70,223,15,0,4,,1,0,0,1,1,82,109,1,110
77,77,77,1,ponyta,,,10,,50,18,49,5,,10,300,50,0,85,0,55,0,65,0,65,0,90,1,410,1,1,1,,32,10,8,4,190,70,82,20,0,2,,1,0,0,1,1,83,111,1,112
78,78,78,1,rapidash,,,10,,50,18,49,5,,17,950,65,0,100,0,70,0,80,0,80,0,105,2,500,2,1,1,77,32,10,8,4,60,70,175,20,0,2,,1,0,0,1,1,84,112,1,113
79,79,79,1,slowpoke,,,11,14,12,20,144,1,2,12,360,90,1,65,0,65,0,40,0,40,0,15,0,315,1,1,1,,33,6,8,4,190,70,63,20,0,2,,1,0,0,1,1,85,113,1,114
80,80,80,1,slowbro,,,11,14,12,20,144,1,2,16,785,95,0,75,0,110,2,100,0,80,0,30,0,490,2,1,1,79,33,6,6,4,75,70,172,20,0,2,,0,0,0,1,1,86,114,1,115
81,81,81,1,magnemite,,,13,9,42,5,148,10,,3,60,25,0,35,0,70,0,95,1,55,0,45,0,325,1,1,1,,34,4,4,-1,190,70,65,20,0,2,,1,0,0,1,1,88,117,1,118
82,82,82,1,magneton,,,13,9,42,5,148,10,,10,600,50,0,60,0,95,0,120,2,70,0,70,0,465,2,1,1,81,34,4,11,-1,60,70,163,20,0,2,,1,0,0,1,1,89,118,1,119
83,83,83,1,farfetchd,,,1,3,51,39,128,4,5,8,150,52,0,90,1,55,0,58,0,62,0,60,0,377,1,1,1,,35,3,9,4,45,70,132,20,0,2,,1,0,0,1,1,91,120,1,121
84,84,84,1,doduo,,,1,3,50,48,77,4,,14,392,35,0,85,1,45,0,35,0,35,0,75,0,310,1,1,1,,36,3,7,4,190,70,62,20,1,2,,1,0,0,1,1,92,121,1,122
85,85,85,1,dodrio,,,1,3,50,48,77,4,,18,852,60,0,110,2,70,0,60,0,60,0,110,0,470,2,1,1,84,36,3,7,4,45,70,165,20,1,2,,1,0,0,1,1,93,122,1,123
86,86,86,1,seel,,,11,,47,93,115,2,5,11,900,65,0,45,0,55,0,45,0,70,1,45,0,325,1,1,1,,37,9,3,4,190,70,65,20,0,2,,1,0,0,1,1,94,123,1,124
87,87,87,1,dewgong,,,11,15,47,93,115,2,5,17,1200,90,0,70,0,80,0,70,0,95,2,70,0,475,2,1,1,86,37,9,3,4,75,70,166,20,0,2,,1,0,0,1,1,95,124,1,125
88,88,88,1,grimer,,,4,,1,60,143,11,,9,300,80,1,80,0,50,0,40,0,50,0,25,0,325,1,1,1,,38,7,4,4,190,70,65,20,0,2,,1,0,0,1,1,96,125,1,126
89,89,89,1,muk,,,4,,1,60,143,11,,12,300,105,1,105,1,75,0,65,0,100,0,50,0,500,2,1,1,88,38,7,4,4,75,70,175,20,0,2,,1,0,0,1,1,97,127,1,128
90,90,90,1,shellder,,,11,,75,92,142,9,,3,40,30,0,65,0,100,1,45,0,25,0,40,0,305,1,1,1,,39,7,1,4,190,70,61,20,0,1,,1,0,0,1,1,98,129,1,130
91,91,91,1,cloyster,,,11,15,75,92,142,9,,15,1325,50,0,95,0,180,2,85,0,45,0,70,0,525,2,1,1,90,39,7,1,4,60,70,184,20,0,1,,1,0,0,1,1,99,130,1,131
92,92,92,1,gastly,,,8,4,26,,,11,,13,1,30,0,35,0,30,0,100,1,35,0,80,0,310,1,1,1,,40,7,1,4,190,70,62,20,0,4,,1,0,0,1,1,100,131,1,132
93,93,93,1,haunter,,,8,4,26,,,11,,16,1,45,0,50,0,45,0,115,2,55,0,95,0,405,2,1,1,92,40,7,4,4,90,70,142,20,0,4,,1,0,0,1,1,101,132,1,133
94,94,94,1,gengar,,,8,4,130,,,11,,15,405,60,0,65,0,60,0,130,3,75,0,110,0,500,3,1,1,93,40,7,6,4,45,70,225,20,0,4,,0,0,0,1,1,102,133,1,134
95,95,95,1,onix,,,6,5,69,5,133,10,,88,2100,35,0,45,0,160,1,30,0,45,0,70,0,385,1,1,1,,41,4,2,4,45,70,77,25,0,2,,1,0,0,1,1,103,135,1,136
96,96,96,1,drowzee,,,14,,15,108,39,8,,10,324,60,0,48,0,45,0,43,0,90,1,42,0,328,1,1,1,,42,10,12,4,190,70,66,20,0,2,,1,0,0,1,1,105,138,1,139
97,97,97,1,hypno,,,14,,15,108,39,8,,16,756,85,0,73,0,70,0,73,0,115,2,67,0,483,2,1,1,96,42,10,12,4,75,70,169,20,1,2,,1,0,0,1,1,106,139,1,140
98,98,98,1,krabby,,,11,,52,75,125,9,,4,65,30,0,105,1,90,0,25,0,25,0,50,0,325,1,1,1,,43,8,14,4,225,70,65,20,0,2,,1,0,0,1,1,107,140,1,141
99,99,99,1,kingler,,,11,,52,75,125,9,,13,600,55,0,130,2,115,0,50,0,50,0,75,0,475,2,1,1,98,43,8,14,4,60,70,166,20,0,2,,1,0,0,1,1,108,141,1,142
100,100,100,1,voltorb,,,13,,43,9,106,10,,5,104,40,0,30,0,50,0,55,0,55,0,100,1,330,1,1,1,,44,8,1,-1,190,70,66,20,0,2,,1,0,0,1,1,109,142,1,143
101,101,101,1,electrode,,,13,,43,9,106,10,,12,666,60,0,50,0,70,0,80,0,80,0,150,2,490,2,1,1,100,44,8,1,-1,60,70,172,20,0,2,,1,0,0,1,1,110,143,1,144
102,102,102,1,exeggcute,,,12,14,34,,139,7,,4,25,60,0,40,0,80,1,60,0,45,0,40,0,325,1,1,1,,45,6,11,4,90,70,65,20,0,1,,1,0,0,1,1,111,144,1,145
103,103,103,1,exeggutor,,,12,14,34,,139,7,,20,1200,95,0,95,0,85,0,125,2,75,0,55,0,530,2,1,1,102,45,10,7,4,45,70,186,20,0,1,,1,0,0,1,1,112,145,1,146
104,104,104,1,cubone,,,5,,69,31,4,1,,4,65,50,0,50,0,95,1,40,0,50,0,35,0,320,1,1,1,,46,3,6,4,190,70,64,20,0,2,,1,0,0,1,1,113,147,1,148
105,105,105,1,marowak,,,5,,69,31,4,1,,10,450,60,0,80,0,110,2,50,0,80,0,45,0,425,2,1,1,104,46,3,6,4,75,70,149,20,0,2,,1,0,0,1,1,114,148,1,149
106,106,106,1,hitmonlee,,,2,,7,120,84,8,,15,498,50,0,120,2,53,0,35,0,110,0,87,0,455,2,1,1,236,47,3,12,0,45,70,159,25,0,2,,1,0,0,1,1,116,151,1,152
107,107,107,1,hitmonchan,,,2,,51,89,39,8,,14,502,50,0,105,0,79,0,35,0,110,2,76,0,455,2,1,1,236,47,3,12,0,45,70,159,25,0,2,,1,0,0,1,1,117,152,1,153
108,108,108,1,lickitung,,,1,,20,12,13,1,,12,655,90,2,55,0,75,0,60,0,75,0,30,0,385,2,1,1,,48,6,6,4,45,70,77,20,0,2,,1,0,0,1,1,119,154,1,155
109,109,109,1,koffing,,,4,,26,,,11,,6,10,40,0,65,0,95,1,60,0,45,0,35,0,340,1,1,1,,49,7,1,4,190,70,68,20,0,2,,1,0,0,1,1,121,156,1,157
110,110,110,1,weezing,,,4,,26,,,11,,12,95,65,0,90,0,120,2,85,0,70,0,60,0,490,2,1,1,109,49,7,11,4,60,70,172,20,0,2,,1,0,0,1,1,122,157,1,158
111,111,111,1,rhyhorn,,,5,6,31,69,120,1,5,10,1150,80,0,85,0,95,1,30,0,30,0,25,0,345,1,1,1,,50,4,8,4,120,70,69,20,1,1,,1,0,0,1,1,123,158,1,159
112,112,112,1,rhydon,,,5,6,31,69,120,1,5,19,1200,105,0,130,2,120,0,45,0,45,0,40,0,485,2,1,1,111,50,4,6,4,60,70,170,20,1,1,,1,0,0,1,1,124,159,1,160
113,113,113,1,chansey,,,1,,30,32,131,6,,11,346,250,2,5,0,5,0,35,0,105,0,50,0,450,2,1,1,440,51,6,6,8,30,140,395,40,0,3,,1,0,0,1,1,127,162,1,163
114,114,114,1,tangela,,,12,,34,102,144,7,,10,350,65,0,55,0,115,1,100,0,40,0,60,0,435,1,1,1,,52,2,7,4,45,70,87,20,0,2,,1,0,0,1,1,129,164,1,165
115,115,115,1,kangaskhan,,,1,,48,113,39,1,,22,800,105,2,95,0,80,0,40,0,80,0,90,0,490,2,1,1,,53,3,6,8,45,70,172,20,0,2,,0,0,0,1,1,131,166,1,167
116,116,116,1,horsea,,,11,,33,97,6,2,14,4,80,30,0,40,0,70,0,70,1,25,0,60,0,295,1,1,1,,54,2,5,4,225,70,59,20,0,2,,1,0,0,1,1,132,168,1,169
117,117,117,1,seadra,,,11,,38,97,6,2,14,12,250,55,0,65,0,95,1,95,1,45,0,85,0,440,2,1,1,116,54,2,5,4,75,70,154,20,0,2,,1,0,0,1,1,133,169,1,170
118,118,118,1,goldeen,,,11,,33,41,31,12,,6,150,45,0,67,1,60,0,35,0,50,0,63,0,320,1,1,1,,55,8,3,4,225,70,64,20,1,2,,1,0,0,1,1,135,171,1,172
119,119,119,1,seaking,,,11,,33,41,31,12,,13,390,80,0,92,2,65,0,65,0,80,0,68,0,450,2,1,1,118,55,8,3,4,60,70,158,20,1,2,,1,0,0,1,1,136,172,1,173
120,120,120,1,staryu,,,11,,35,30,148,9,,8,345,30,0,45,0,55,0,70,0,55,0,85,1,340,1,1,1,,56,3,5,-1,225,70,68,20,0,1,,1,0,0,1,1,137,173,1,174
121,121,121,1,starmie,,,11,14,35,30,148,9,,11,800,60,0,75,0,85,0,100,0,85,0,115,2,520,2,1,1,120,56,7,5,-1,60,70,182,20,0,1,,1,0,0,1,1,138,174,1,175
122,122,122,1,mr-mime,,,14,18,43,111,101,8,,13,545,40,0,45,0,65,0,100,0,120,2,90,0,460,2,1,1,439,57,6,12,4,45,70,161,25,0,2,,1,0,0,1,1,140,176,1,177
123,123,123,1,scyther,,,7,3,68,101,80,3,,15,560,70,0,110,1,80,0,55,0,80,0,105,0,500,1,1,1,,58,5,13,4,45,70,100,25,1,2,,1,0,0,1,1,141,177,1,178
124,124,124,1,jynx,,,15,14,12,108,87,8,,14,406,65,0,50,0,35,0,115,2,95,0,95,0,455,2,1,1,238,59,8,12,8,45,70,159,25,0,2,,1,0,0,1,1,144,181,1,182
125,125,125,1,electabuzz,,,13,,9,,72,8,,11,300,65,0,83,0,57,0,95,0,85,0,105,2,490,2,1,1,239,60,10,6,2,45,70,172,25,0,2,,1,0,0,1,1,146,183,1,184
126,126,126,1,magmar,,,10,,49,,72,8,,13,445,65,0,95,0,57,0,100,2,85,0,93,0,495,2,1,1,240,61,8,6,2,45,70,173,25,0,2,,1,0,0,1,1,149,186,1,187
127,127,127,1,pinsir,,,7,,52,104,153,3,,15,550,65,0,125,2,100,0,55,0,70,0,85,0,500,2,1,1,,62,3,12,4,45,70,175,25,0,1,,0,0,0,1,1,151,188,1,189
128,128,128,1,tauros,,,1,,22,83,125,5,,14,884,75,0,100,1,95,0,40,0,70,0,110,1,490,2,1,1,,63,3,8,0,45,70,172,20,0,1,,1,0,0,1,1,152,190,1,191
